-811.030999 0.000000
-810.922034 0.000021
-812.608299 0.000042
-810.385944 0.000063
-874.790520 0.000083
-inf 0.000104
-808.536560 0.000125
-808.121575 0.000146
-807.662059 0.000167
-812.629633 0.000188
-809.040687 0.000208
-809.043789 0.000229
-inf 0.000250
-812.346202 0.000271
-810.387956 0.000292
-864.200334 0.000313
-inf 0.000333
-807.585062 0.000354
-807.885157 0.000375
-813.569014 0.000396
-815.428767 0.000417
-807.359785 0.000438
-815.562098 0.000458
-807.961221 0.000479
-807.581273 0.000500
-809.039653 0.000521
-815.575252 0.000542
-807.967920 0.000562
-815.384298 0.000583
-809.127628 0.000604
-808.952219 0.000625
-812.861946 0.000646
-813.132604 0.000667
-807.745088 0.000687
-811.481981 0.000708
-808.888317 0.000729
-808.205379 0.000750
-810.799214 0.000771
-860.292405 0.000792
-812.346202 0.000812
-812.213591 0.000833
-877.984537 0.000854
-inf 0.000875
-815.244492 0.000896
-814.892000 0.000917
-813.911794 0.000937
-815.244492 0.000958
-inf 0.000979
-811.030999 0.001000
-811.146179 0.001021
-871.048787 0.001042
-inf 0.001063
-809.142610 0.001083
-808.066869 0.001104
-807.583022 0.001125
-818.695154 0.001146
-811.602416 0.001167
-809.157967 0.001187
-818.678412 0.001208
-808.444686 0.001229
-808.046866 0.001250
-856.162928 0.001271
-810.493236 0.001292
-810.390774 0.001313
-874.146826 0.001333
-inf 0.001354
-809.142610 0.001375
-808.693421 0.001396
-813.755600 0.001417
-815.068872 0.001437
-815.608958 0.001458
-815.245196 0.001479
-863.089987 0.001500
